id,name,student,task,time,randomness,data
17146,edit-program,8620,19.0,2017-12-13T14:57:16.250312Z,1029254396,"{'task_session_id': 1159, 'program': 'slfllls'}"
17147,edit-program,8618,23.0,2017-12-13T14:57:16.892042Z,455186312,"{'task_session_id': 1162, 'program': 'lsrrllf'}"
17148,edit-program,8620,19.0,2017-12-13T14:57:19.805229Z,416939472,"{'task_session_id': 1159, 'program': 'slflllsr'}"
17149,edit-program,8621,23.0,2017-12-13T14:57:22.164745Z,267521091,"{'task_session_id': 1164, 'program': ''}"
17150,run-program,8618,23.0,2017-12-13T14:57:23.196348Z,391189345,"{'task_session_id': 1162, 'program': 'lsrrllf', 'correct': True}"
17151,edit-program,8617,11.0,2017-12-13T14:57:23.960011Z,684418492,"{'task_session_id': 1165, 'program': 's'}"
17152,edit-program,8620,19.0,2017-12-13T14:57:24.053515Z,1055865102,"{'task_session_id': 1159, 'program': 'slflllsrf'}"
17153,edit-program,8621,23.0,2017-12-13T14:57:25.858231Z,560300851,"{'task_session_id': 1164, 'program': 'lrfff'}"
17154,edit-program,8621,23.0,2017-12-13T14:57:26.322590Z,894260968,"{'task_session_id': 1164, 'program': 'l'}"
17155,edit-program,8621,23.0,2017-12-13T14:57:29.853851Z,185514470,"{'task_session_id': 1164, 'program': 'ls'}"
17156,edit-program,8617,11.0,2017-12-13T14:57:30.193522Z,47534275,"{'task_session_id': 1165, 'program': 'ss'}"
17157,run-program,8620,19.0,2017-12-13T14:57:31.051358Z,769321764,"{'task_session_id': 1159, 'program': 'slflllsrf', 'correct': True}"
17158,edit-program,8621,23.0,2017-12-13T14:57:31.053998Z,774957887,"{'task_session_id': 1164, 'program': 'lsrfff'}"
17159,run-program,8617,11.0,2017-12-13T14:57:33.469193Z,156324279,"{'task_session_id': 1165, 'program': 'ss', 'correct': False}"
17160,start-task,8618,11.0,2017-12-13T14:57:34.920209Z,1023449138,{'task_session_id': 1167}
17161,run-program,8621,23.0,2017-12-13T14:57:36.438025Z,840239169,"{'task_session_id': 1164, 'program': 'lsrfff', 'correct': False}"
17162,watch-instruction,8618,,2017-12-13T14:57:38.257940Z,948204893,{'instruction': 'energy-status'}
17163,watch-instruction,8618,,2017-12-13T14:57:39.262895Z,226487069,{'instruction': 'length-limit'}
17164,edit-program,8621,23.0,2017-12-13T14:57:40.080803Z,623804787,"{'task_session_id': 1164, 'program': 'lsr'}"
17165,watch-instruction,8618,,2017-12-13T14:57:41.288797Z,517027937,{'instruction': 'block.repeat'}
17166,edit-program,8617,11.0,2017-12-13T14:57:41.582413Z,113459891,"{'task_session_id': 1165, 'program': 'sss'}"
17167,run-program,8619,14.0,2017-12-13T14:57:43.410050Z,694105174,"{'task_session_id': 1166, 'program': '', 'correct': False}"
17168,start-task,8620,11.0,2017-12-13T14:57:43.528251Z,26653203,{'task_session_id': 1168}
17169,edit-program,8618,11.0,2017-12-13T14:57:44.566766Z,889979015,"{'task_session_id': 1167, 'program': 'R2{}'}"
17170,watch-instruction,8620,,2017-12-13T14:57:45.605594Z,402918213,{'instruction': 'energy-status'}
17171,run-program,8621,23.0,2017-12-13T14:57:47.418032Z,296508772,"{'task_session_id': 1164, 'program': 'lsr', 'correct': False}"
17172,edit-program,8618,11.0,2017-12-13T14:57:47.538137Z,559379248,"{'task_session_id': 1167, 'program': 'R2{s}'}"
17173,edit-program,8617,11.0,2017-12-13T14:57:48.990841Z,705345116,"{'task_session_id': 1165, 'program': 'ss'}"
17174,edit-program,8618,11.0,2017-12-13T14:57:49.596854Z,609713445,"{'task_session_id': 1167, 'program': 'R10{s}'}"
17175,edit-program,8620,11.0,2017-12-13T14:57:50.631640Z,1071525326,"{'task_session_id': 1168, 'program': 'R2{}'}"
17176,edit-program,8617,11.0,2017-12-13T14:57:52.336965Z,147604280,"{'task_session_id': 1165, 'program': 'R2{}ss'}"
17177,edit-program,8617,11.0,2017-12-13T14:57:53.681864Z,453057892,"{'task_session_id': 1165, 'program': 'R2{}'}"
17178,edit-program,8620,11.0,2017-12-13T14:57:54.146007Z,90729807,"{'task_session_id': 1168, 'program': 'R4{}'}"
17179,edit-program,8617,11.0,2017-12-13T14:57:54.513863Z,1005583565,"{'task_session_id': 1165, 'program': 'R2{ss}'}"
17180,edit-program,8621,23.0,2017-12-13T14:57:55.960958Z,896710073,"{'task_session_id': 1164, 'program': 'lsrr'}"
17181,run-program,8618,11.0,2017-12-13T14:57:57.437326Z,17110701,"{'task_session_id': 1167, 'program': 'R10{s}', 'correct': False}"
17182,run-program,8617,11.0,2017-12-13T14:57:59.221408Z,1020487579,"{'task_session_id': 1165, 'program': 'R2{ss}', 'correct': False}"
17183,edit-program,8621,23.0,2017-12-13T14:58:01.609054Z,168391562,"{'task_session_id': 1164, 'program': 'lsrrl'}"
