id,student,task,solved,start,end,time_spent
570,4848,8,True,2017-11-26T17:37:03.775113Z,2017-11-26T17:37:58.518302Z,54
516,4844,1,True,2017-11-26T13:50:14.322502Z,2017-11-26T13:51:27.667349Z,73
552,4846,3,True,2017-11-26T16:30:53.159552Z,2017-11-26T16:32:58.631317Z,125
564,4848,44,True,2017-11-26T17:17:55.793899Z,2017-11-26T17:18:14.521305Z,18
543,4846,23,True,2017-11-26T16:14:35.654861Z,2017-11-26T16:15:08.366478Z,32
547,4846,1,True,2017-11-26T16:21:02.106599Z,2017-11-26T16:23:23.008756Z,140
534,4846,44,True,2017-11-26T16:00:37.252392Z,2017-11-26T16:01:15.471641Z,38
535,4846,49,True,2017-11-26T16:01:21.543915Z,2017-11-26T16:01:42.666503Z,21
517,4844,13,True,2017-11-26T13:51:30.583270Z,2017-11-26T13:52:45.517512Z,74
595,4853,26,True,2017-11-26T18:46:14.224837Z,2017-11-26T18:46:23.775701Z,9
536,4846,51,True,2017-11-26T16:01:47.039738Z,2017-11-26T16:01:52.341795Z,5
561,4846,34,False,2017-11-26T16:45:48.424755Z,2017-11-26T16:53:16.686271Z,448
