"task_instance_id","student_id","task_id","time_start","time_end","time_spent","solved","given_up","attempts","solution_size","reported_flow","instructions_ids","session_id","session_order"
277,74,2,"2016-09-19 07:43:46.941749","",0,False,False,0,"","UNKNOWN","[]",115,115
278,69,18,"2016-09-20 05:50:23.022062","2016-09-20 11:52:23.173920",1950,True,False,1,4,"UNKNOWN","[]",116,116
279,75,1,"2016-09-24 06:58:35.210752","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",117,117
305,76,3,"2016-10-04 11:32:16.135145","",0,False,False,0,"","UNKNOWN","[2]",131,131
280,76,1,"2016-09-25 13:40:43.756588","2016-09-25 13:41:02.847009",18,True,False,1,4,"UNKNOWN","[11, 13, 12, 1, 14, 15]",118,118
281,76,2,"2016-09-26 15:03:24.148523","",0,False,False,0,"","UNKNOWN","[2]",119,119
306,87,56,"2016-10-05 00:50:05.356871","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",132,132
307,88,1,"2016-10-05 12:19:47.258954","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",133,133
282,77,56,"2016-09-27 11:16:04.399460","2016-09-27 11:19:09.247728",180,True,False,1,3,"EASY","[11, 13, 12, 1, 14, 15]",120,120
283,77,3,"2016-09-27 11:19:21.714887","2016-09-27 11:19:51.477536",28,True,False,1,6,"EASY","[2]",120,120
352,100,56,"2016-11-02 07:45:10.894749","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",156,156
318,76,11,"2016-10-11 09:06:23.685036","2016-10-11 09:07:36.308435",73,True,False,3,7,"EASY","[]",136,136
284,77,11,"2016-09-27 11:20:04.048378","2016-09-27 11:20:52.220500",48,True,False,1,7,"EASY","[16, 3]",120,120
285,77,20,"2016-09-27 11:20:57.175737","2016-09-27 11:21:52.139243",43,False,False,1,8,"UNKNOWN","[]",120,120
286,78,56,"2016-09-29 13:55:00.411669","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",121,121
287,79,56,"2016-09-30 01:48:31.317024","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",122,122
311,86,56,"2016-10-11 07:22:19.816259","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]","",""
288,80,56,"2016-09-30 12:32:04.978524","2016-09-30 12:59:29.664220",1644,True,False,2,3,"DIFFICULT","[11, 13, 12, 1, 14, 15]",123,123
289,80,8,"2016-09-30 12:59:37.088958","2016-09-30 13:00:25.109982",48,False,False,1,6,"UNKNOWN","[2]",123,123
290,81,1,"2016-09-30 13:31:24.381154","2016-09-30 13:31:29.225086",5,False,False,1,1,"UNKNOWN","[11, 13, 12, 1, 14, 15]",124,124
291,82,1,"2016-10-01 02:38:31.950797","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]","",""
292,75,1,"2016-10-01 15:13:17.618280","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",125,125
293,83,56,"2016-10-03 07:05:46.641865","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",126,126
